name Energy(Hartrees)
1abt_1 -11019.503435900508
1abt_2 -8045.897283601986
1abt_3 -11123.699033980622
1afk_1 -8147.105353347029
1afk_2 -8946.315704858836
1afk_3 -5395.927913442279
1afk_4 -7327.596923456119
1afk_5 -7865.174061097105
1afl_2 -11408.253063785229
1afl_3 -7401.491135722863
1afl_4 -8660.200354873075
1afl_5 -4601.767186489849
1afl_6 -5468.040361600986
1afl_7 -5469.816886670838
1aze_3 -9450.949959649495
1azg_1 -9032.7254877737
1azg_2 -6434.230666658733
1azg_3 -7345.634978457444
1bbz_1 -8924.247617421952
1bbz_2 -5559.797818218067
1bbz_3 -7889.0880073369
1bhf_1 -7704.384194394268
1bhf_2 -4395.536331608136
1bhf_3 -7901.524221965531
1bhf_5 -4375.058823820295
1bhf_6 -4161.581189405274
1bhf_7 -7432.219250887444
1ceb_2 -7587.194206355198
1ceb_4 -4727.703536022714
1ceb_5 -5700.968700986763
1cka_1 -7528.768536698985
1cka_2 -4528.807748909407
1cka_3 -4482.076009793682
1cka_4 -7140.825768492673
1ckb_1 -7010.982168088718
1ckb_2 -3891.393941406396
1ckb_3 -5333.328127725547
1ckb_4 -7444.947341334472
1d7i_3 -9032.258397089794
1d7i_5 -7010.617321651153
1d7j_1 -7170.267854053372
1d7j_2 -5601.476926557963
1d7j_3 -4120.717205395956
1d7j_4 -6333.51059170696
1d7j_6 -8815.167557897577
1dpu_1 -6822.080146731433
1dpu_2 -6095.9478798329865
1dpu_4 -9318.17764032829
1fkg_1 -6885.307502217704
1fkg_2 -5246.615278173079
1fkg_3 -9032.092618470115
1fkg_4 -4672.774184699502
1fkg_5 -7178.3306482790185
1fkh_2 -5601.455171361828
1fkh_3 -4288.481558952457
1fkh_4 -6165.645123325179
1fkh_5 -9711.43439588917
1fkh_6 -8647.252074131477
1fv0_1 -8857.898540361814
1fv0_2 -6712.046647717459
1fv0_3 -6163.43214938023
1fv0_4 -8909.60953750552
1fv0_6 -8190.687296098765
1gbq_1 -6420.535401974581
1gbq_2 -4213.210956125812
1gbq_4 -7373.731681011546
1haa_1 -10827.85351319241
1haa_2 -8237.887473023935
1haa_3 -10726.581053288766
1hc9_1 -10738.390496060856
1hi4_2 -6350.420616556454
1hi4_3 -10346.56410474551
1hi4_5 -5175.882444029712
1hi4_6 -8725.237760877473
1hi4_7 -9118.03541699854
1hi5_1 -9279.524160288012
1hi5_3 -10346.546177887798
1hi5_4 -8257.231544611946
1hi5_6 -8725.278282544437
1hmt_1 -7651.84216477175
1hmt_2 -5024.338010552483
1hmt_3 -5700.289123464831
1hmt_4 -6675.155200222554
1hmt_6 -8543.785859252686
1hmt_7 -8392.102081865232
1i5h_1 -8469.018421558718
1i5h_2 -4032.1137278570754
1i5h_3 -7284.550492468093
1i8h_1 -6813.760235038868
1ikt_1 -8621.325948167741
1ikt_3 -6784.41913722982
1ikt_4 -7441.543347098165
1ikt_5 -4098.293078402646
1ikt_7 -7518.007096655781
1jbd_1 -10937.315085108174
1jbd_3 -10726.625718944364
1jmq_1 -9848.453584330295
1jmq_2 -9401.259371653367
1jn4_1 -7979.214796880519
1jn4_2 -8946.163094682113
1jn4_4 -9064.640752763818
1jn4_6 -5151.953529500603
1jn4_7 -6264.818782703622
1jq8_4 -7684.089177539498
1jq8_5 -6645.772815340844
1jq8_6 -6520.181192695081
1jq8_7 -8141.621760266487
1jvu_1 -7412.870334732637
1jvu_2 -10685.12911038762
1jvu_3 -8396.01980153653
1jvu_4 -9896.091881148914
1jvu_5 -5789.871363923776
1jvu_6 -8655.020700693065
1k9q_2 -9374.469808654932
1k9r_1 -8010.699467246577
1k9r_2 -8358.806125580008
1kna_3 -9564.557663132871
1kne_1 -5602.728236238504
1kne_2 -4024.8764491604543
1kne_3 -6300.276715099091
1kne_4 -6673.043839778911
1l2z_1 -6789.830981058132
1l2z_2 -4304.058490116303
1l2z_3 -6322.4779000178205
1lkl_1 -9708.980464500792
1lkl_5 -8596.652221090397
1lxh_1 -6061.459891728712
1lxh_2 -7420.04915251423
1lxh_3 -4731.255034967295
1lxh_4 -10666.705653062356
1nlo_3 -7628.276089179955
1nlp_1 -8128.970244855154
1nlp_2 -5007.558985279311
1o0f_3 -6530.161329411188
1o0f_4 -7725.1782694911535
1o0f_5 -6025.887903381051
1o0f_6 -6491.633584855676
1o0f_7 -8272.024365159907
1o0h_1 -7979.094050157876
1o0h_2 -8946.346586972348
1o0h_4 -8818.96081326804
1o0h_6 -5397.804702099637
1o0h_7 -8272.051191215927
1o0m_1 -6333.79885961844
1o0m_2 -8414.43040428645
1o0m_3 -10875.045703126592
1o0m_4 -7457.164934780587
1o0m_5 -4601.76879045626
1o0m_6 -5300.2524571215545
1o0m_7 -7853.64374136827
1o0n_1 -9584.43660527903
1o0n_2 -6207.079413021978
1o0n_4 -8228.302862216347
1o0n_5 -8527.491800219934
1o0n_6 -4246.788291345316
1o0n_7 -8423.359087310164
1oai_3 -5119.526253168248
1oai_4 -7657.468719523558
1pdq_1 -7719.140932635931
1pdq_2 -4883.507633477138
1pmx_1 -10666.555732643865
1pmx_2 -4904.932972397396
1pmx_3 -6277.451378627652
1pmx_4 -6449.018924649177
1prl_1 -9334.738279593941
1prl_2 -6580.326847389679
1prm_1 -8975.369677257764
1prm_2 -4934.884456744392
1prm_3 -8066.584156436172
1q7a_1 -6051.244490019298
1q7a_2 -10184.408369421042
1q7a_3 -3811.8659515134636
1q7a_4 -6020.754468138938
1q7a_7 -6948.670421377424
1q7a_8 -4164.217836190174
1qhc_1 -7979.294001656886
1qhc_2 -6406.101148833519
1qhc_3 -5467.317234479248
1qhc_4 -7506.89592095841
1qhc_6 -5151.907459353812
1qwe_1 -6984.6627282539785
1qwe_2 -4434.703592163063
1qwe_3 -4329.142823840789
1qwe_4 -6229.4193923315015
1qwf_3 -8234.30971189316
1rlq_1 -7878.416066948234
1rlq_3 -9105.506670469465
1rnm_2 -6769.027765560879
1rnm_3 -10707.198565378343
1rnm_4 -8271.265263375368
1rnm_5 -4601.770593690307
1rnm_6 -4485.887729309106
1rnm_7 -8021.363241620341
1rnt_1 -7842.269778300598
1rnt_2 -4729.702596340227
1rnt_3 -4499.370147840122
1rnt_4 -6540.8135102756005
1rnt_5 -6727.308554142499
1rnt_6 -9467.468285104535
1rpf_2 -10837.485992978593
1rpf_4 -8227.896599911941
1rpf_5 -5957.34716097457
1rpf_6 -8654.615390607258
1sv3_1 -8857.825816827764
1sv3_2 -6505.209376943216
1sv3_3 -7323.69526015306
1sv3_4 -7081.746161355144
1sv3_7 -6806.168004860176
1u1b_2 -7760.031412949631
1u1b_4 -6036.340273810155
1u1b_5 -4996.939165331599
1u1b_6 -6226.419334874089
1u1b_7 -8218.496542435565
1uj0_1 -8022.949466204557
1uj0_2 -4607.707000376044
1uj0_3 -4771.780202009797
1uj0_4 -5999.883303219342
1uti_2 -5814.690750923572
1uti_3 -7861.865142706463
1w4o_3 -5960.063872397555
1w4o_5 -3934.6091386076623
1w4o_6 -8556.209466882796
1w4o_7 -6894.039896379062
1w4p_1 -8788.41600067027
1w4p_2 -7354.5948043880035
1w4p_4 -7674.707344751026
1w4p_5 -11721.388229962486
1w4p_6 -9903.424004373515
1xt3_1 -9980.947616591704
1ywi_2 -2896.8982624338023
1z6s_1 -7979.330408118752
1z6s_2 -8248.765055699781
1z6s_6 -5397.770399353907
1z6s_7 -8272.001507154968
2df6_1 -8418.46048912628
2df6_2 -4850.287096793184
2df6_3 -9882.527224066409
2ez5_1 -6605.055106807292
2ez5_2 -4167.013581336567
2ez5_3 -7229.267958637811
2hnx_3 -7595.261690972818
2hnx_4 -4776.772703958781
2hnx_5 -9032.659855251091
2hnx_6 -3928.9787305833233
2hnx_7 -5997.623664875477
2hnx_8 -9582.67879728545
2hug_1 -9219.12869941767
2hug_2 -5790.154166323071
2hug_3 -7871.697337632408
2jo9_1 -6202.613001310363
2jup_1 -9138.433494329714
2jup_2 -5947.513963228799
2khh_1 -7491.706136152722
2khh_2 -5092.574166852832
2khh_3 -4181.743930046008
2khh_4 -6588.908429746074
2l11_1 -5983.971097542506
2l11_2 -3667.1327004067075
2l11_3 -4746.762665697384
2l11_4 -7665.610956625995
2lcs_1 -6535.253466105964
2lcs_2 -9933.964803882001
2lcs_3 -9847.808690218106
2lto_1 -10549.175949158987
2lto_2 -5833.693851582973
2ltv_2 -7477.11803264191
2ltw_1 -8313.859939274516
2ltw_2 -6236.976440206831
2ltx_1 -7501.433037184078
2ltx_2 -6399.745485787277
2lty_1 -7418.17777636935
2ltz_1 -6038.152160585403
2lyw_2 -2840.06305222747
2m3o_1 -7189.822597765564
2m3o_2 -4101.107272357642
2m3o_3 -5951.119241463428
2n8t_1 -7027.6597515084495
2n8t_2 -8701.540899568401
2o9v_3 -6433.832280475614
2o9v_4 -4134.367001096785
2oei_1 -8172.800466396406
2pv1_1 -6122.767788748565
2pv1_3 -6131.421016900258
2pv1_6 -3982.789663447581
2pv1_7 -6118.05388794877
2rly_1 -6133.098276906521
2rm0_1 -6660.617318131109
2rm0_2 -8425.206976723402
2rol_1 -6835.610420478361
2rol_2 -8866.318419464842
2rol_4 -6174.567280857238
2rqu_1 -6936.4528500758715
2rqu_2 -4917.454538311589
2rqu_3 -5801.640369776381
2rqu_4 -6934.330475933079
