	full	        fmo2_naive 	fmo3_naive	fmo2_semi	fmo3_semi	fmo2_non	fmo3_non        fmo2_qfrags	fmo3_qfrags
1azg_1	-9032.709424	-9032.698367	-9032.709401	-9032.698792	-9032.709434	-9032.704473	-9032.709043	-9032.70734	-9032.709275
1d7j_3	-4120.698673	-4120.698469	-4120.698905	-4120.699399	-4120.698881	-4120.69927	-4120.698688	-4120.699371	-4120.698437
1fkh_3	-4288.461175	-4288.461915	-4288.461352	-4288.461689	-4288.461132	-4288.461362	-4288.461187	-4288.46191	-4288.461213
1hi4_7	-9117.99904	-9117.996317	-9117.99964	-9117.970788	-9117.998471	-9118.001246	-9117.999086	-9118.001014	-9117.998839
1i5h_1	-8469.017339	-8469.009212	-8469.00913	-8468.995206	-8469.017513	-8469.014609	-8469.017342	-8469.010087	-8469.017422
1l2z_1	-6789.817675	-6789.816507	-6789.817433	-6789.816602	-6789.817763	-6789.817384	-6789.817658	-6789.817888	-6789.817686
1prm_1	-8975.346449	-8975.338038	-8975.346065	-8975.340391	-8975.346624	-8975.343083	-8975.346583	-8975.342714	-8975.346839
2ltx_2	-6399.726509	-6399.725647	-6399.726484	-6399.726088	-6399.726491	-6399.72583	-6399.726589	-6399.726573	-6399.726559
2w85_3	-3795.899689	-3795.885615	-3795.899707	-3795.885615	-3795.899707	-3795.899379	-3795.899759	-3795.899644	-3795.899687
3ikd_2	-5252.623761	-5252.607265	-5252.623682	-5252.607265	-5252.623682	-5252.624482	-5252.623764	-5252.624647	-5252.623821
3qo2_3	-9566.940017	-9566.934726	-9566.939298	-9566.912104	-9566.939492	-9566.941525	-9566.940024	-9566.942158	-9566.939627
4ogj_8	-8954.441832	-8954.420647	not converged 	-8954.408275	-8954.44155	-8954.441931	-8954.441886	-8954.443423	-8954.441714
5d24_6	-10564.75076	-10564.74186	not converged	-10564.69455	-10564.75016	-10564.7513	-10564.7508	-10564.75322	-10564.75063
5fe6_6	-5371.918838	-5371.919137	-5371.91889	-5371.912906	-5371.918794	-5371.919187	-5371.918886	-5371.919187	-5371.918886
5fe6_7	-8936.840717	-8936.755353	-8936.838794	-8936.764453	-8936.839043	-8936.841078	-8936.839975	-8936.843514	-8936.839993
5i7x_6	-9255.702898	-9255.641069	-9255.700858	-9255.651672	-9255.701296	-9255.704187	-9255.702504	-9255.707614	-9255.702443
5ji8_5	-10076.52787	-10076.48362	-10076.52742	-10076.47109	-10076.52725	-10076.52872	-10076.52802	-10076.53056	-10076.52798
5nlk_4	-9020.641675	-9020.609423	-9020.642279	-9020.587451	-9020.641908	-9020.643352	-9020.641941	-9020.644404	-9020.641859
6dl2_7	-9750.118308	-9750.060421	-9750.12129	-9750.031628	-9750.116934	-9750.118002	-9750.118353	-9750.119714	-9750.118278
6fgg_5	-8007.862269	-8007.823817	-8007.861969	-8007.840847	-8007.86199	-8007.860348	-8007.862394	-8007.862558	-8007.862359
