	mbe2_naive	mbe3_naive	mbe2_semi	mbe3_semi	mbe2_non	mbe3_non	mbe2_qfrags	mbe3_qfrags
1afk_6	-65.38568317	-2.275168323	-24.26234023	-0.676235725	-28.41714743	-0.615529964	-26.93092379	-0.548404645
1d7j_5	-39.98868951	-1.357314792	-28.30305604	1.23161223	-51.73933179	3.015088937	10.45468374	-1.017649839
1jbd_2	-0.229005403	0.176148997	12.14158799	0.875367115	-4.804433221	0.108812719	-7.336927247	0.316740583
1nlo_1	9.173909517	-11.70105107	81.08565146	-8.621700129	45.0092656	-3.981611708	78.11366318	-8.002706497
1nlo_2	-1.814809504	0.491611958	0.256185763	0.078873775	1.480673464	0.182825854	4.24014241	-0.092300923
1nlp_3	-19.49446983	2.257504222	17.6218085	-1.348652324	-2.548477074	0.01740184	-9.81287467	0.2178501
1qhc_5	-42.59624918	-2.802156764	0.283817102	-0.35348713	-6.51145122	-0.612684475	0.709023813	-1.53020089
1qwf_2	-20.72622157	-1.143003707	5.704683275	0.543629782	3.985317468	-0.14290628	3.335416663	0.071583652
3g19_2	-64.87579666	5.221232187	-28.84264735	8.052406952	-31.58103036	8.947562302	-49.09777775	4.631043102
3g19_5	-86.25554704	8.813135471	-30.06784688	1.142955345	-49.75885312	7.220690559	-6.30729565	5.931138032
3kiv_4	-28.18298113	-1.982988533	16.32531571	-0.774951453	-13.44616379	-0.067119595	-4.8066556	0.146554467
3zyu_6	-10.53347633	1.020998452	13.8128576	0.121933655	26.45320868	0.285298986	-15.46969566	0.419082047
4rsk_3	-34.21700083	1.823780548	-13.89265369	2.786907364	17.64767622	2.725258394	-18.25446324	0.317980107
4tkj_5	-53.29580926	-7.191470397	35.66210354	1.137504965	2.846533524	-0.644431284	46.76627704	-1.826365849
5d47_5	-49.01918015	-9.928968979	44.36139271	-4.20145913	16.36113963	-2.270579108	2.277751291	0.249956318
5dbm_2	-24.27959249	-0.710458097	-44.54651459	1.800954478	-38.64162673	1.30785911	5.29230224	2.343550072
5hrx_4	-193.6513455	18.7407363	-59.53817838	18.99558754	-75.49260542	14.85541007	-75.85890783	9.042667545
6haj_3	-41.32924274	-0.690378166	-25.76804035	3.398845567	-2.987908869	0.207130265	-4.246741704	2.360016585
6pvv_3	18.2883904	0.181929375	0.400506608	0.140625876	-0.778979023	0.074557478	-6.554624182	0.018546505
6pvw_3	-46.85339336	-2.173409036	17.82775	-1.342675188	2.779172589	-0.379597046	12.06993558	-0.777253048
