	fmo2_naive	fmo3_naive	fmo2_semi	fmo3_semi	fmo2_cc 	fmo3_cc 	fmo2_qfrags	fmo3_qfrags
1azg_1	-29.03175298	-0.061754937	-27.91644846	0.02545367	-13.00000102	-1.001466018	-38.44593481	-0.149640924
1d7j_3	-0.536094727	0.610749928	1.907374108	0.548173761	1.568188388	0.040147389	3.284280826	0.08878215
1fkh_3	1.942346528	0.464696751	1.348815497	-0.114436039	0.489226797	0.030000592	0.02382279	-0.616032564
1hi4_7	-7.148212553	1.576646881	-74.17477534	-1.49264401	5.791419794	0.121550147	-31.53755326	-0.239947068
1i5h_1	-21.337846	-21.55327878	-58.1109587	0.45660278	-7.168408449	0.00759502	-19.04006091	0.218606456
1l2z_1	-3.067155256	-0.636848053	-2.817055376	0.229779613	-0.764898939	-0.045511939	-0.324518574	0.01802516
1prm_1	-22.08161852	-1.008602001	-15.90503525	0.460357374	-8.836766545	0.352483457	-16.0675642	0.10308721
2ltx_2	-2.264550933	-0.066923416	-1.104773063	-0.047523598	-1.783378172	0.209376327	0.166186853	0.129303829
2w85_3	-36.95136705	0.047328602	-36.95136443	0.047328602	-0.813601728	0.184088271	-0.814856717	0.185167352
3ikd_2	-43.30925874	-0.206414737	-43.30926136	-0.206404235	1.893788351	0.00867935	3.413488138	0.079055877
3qo2_3	-13.89026391	-1.887551736	-73.28436691	-1.377283186	3.959751823	0.018876322	2.883131418	0.0299113
4ogj_8	-55.62184192    not converged	-88.10565951	-0.741894964	0.258759222	0.140611725	4.595208305	-0.51016046
5d24_6	-23.37396928	not converged	-147.5731838	-1.590132763	1.414662718	0.101912718	7.776648295	-0.32046197
5fe6_6	0.783339848	0.136070083	-15.57555991	-0.117185648	0.915218715	0.124943215	0.705207595	0.132782956
5fe6_7	-224.122765	-5.04838796	-200.2316286	-4.394184251	0.947487393	-1.948439104	5.252945076	-2.453291248
5i7x_6	-162.3317701	-5.357612049	-134.4938325	-4.205986356	3.383583247	-1.035133249	12.70586996	-1.266970151
5ji8_5	-116.1608674	-1.172413612	-149.0690603	-1.621812568	2.237743321	0.39989332	3.802748736	0.394789349
5nlk_4	-84.67912175	1.584721081	-142.3662218	0.611545371	4.402113621	0.697533123	6.02460961	0.310836356
6dl2_7	-151.9816113	7.829648845	-227.5787119	-3.607898193	-0.803147435	0.118403067	10.06457422	-0.194191589
6fgg_5	-100.9545985	-0.786375426	-56.24318937	-0.731386953	-5.042457954	0.329315045	3.248128031	0.270346316
