	fmo2_naive	fmo3_naive	fmo2_semi	fmo3_semi	fmo2_non	fmo3_non	fmo2_qfrags	fmo3_qfrags
1afk_6	-3.35596577	-0.194987168	-0.241004306	0.067686231	-0.116907424	0.075497093	-0.172119063	0.058662386
1d7j_5	-8.36527555	-0.937657285	-80.41513659	0.250147793	1.833232403	-1.012688826	1.260091003	0.436059447
1jbd_2	-23.72187641	0.986024091	-2.591374564	-0.295508715	-2.253706383	0.339801898	NA	NA
1nlo_1	-23.30074111	2.510625525	-202.7369075	2.530744733	-213.760597	-1.239181837	-23.89268634	-1.425453182
1nlo_2	1.544669317	0.56931707	0.263210024	0.119224979	-27.5559526	0.081672452	0.16790175	0.094096321
1nlp_3	-16.32184214	1.703312814	-32.26170686	1.406565676	-0.037777009	-0.022094895	-44.08572487	-0.982757468
1qhc_5	-52.98169649	-2.754539857	-3.638782004	-0.410960797	-6.461538445	0.194022666	NA	NA
1qwf_2	-23.19096505	-1.678773267	-3.414769619	-0.026808667	-3.638814035	0.035633602	0.025664577	0.091097289
3g19_2	-39.09849121	0.718192975	-67.31140532	-0.481566006	-11.42982487	0.31580097	2.383211561	0.138330296
3g19_5	-122.0169481	NA	-193.4336646	-1.59773424	4.075414656	0.156517216	-0.345016298	0.248071026
3kiv_4	-7.717352349	0.211854563	-91.39365203	-0.780878492	-0.381671217	-0.614786737	-1.112836212	-0.462607506
3zyu_6	-6.681935203	0.410018139	-16.28356199	0.082434503	0.742532461	0.170800957	0.669189119	0.16225758
4rsk_3	-14.04918668	1.947496472	-47.59087861	-0.605111772	-0.106445305	-0.067036551	0.057251993	0.410229466
4tkj_5	-51.54979106	-5.675616286	-1.760218634	0.052641853	-1.937145829	-0.145604397	-2.238999565	-0.586349711
5d47_5	-70.38234857	-7.757806736	-37.41657845	-0.224430706	-6.518990817	-0.245143277	7.108561914	-0.196550521
5dbm_2	-38.65660016	0.456898986	-70.6360382	-1.186495981	1.810722309	-0.096685065	-1.753674869	0.246753968
5hrx_4	-40.85546877	1.606065347	-109.8495077	-6.463374776	9.785529667	-2.119416762	6.775467428	-1.109313397
6haj_3	-60.03035294	NA	-11.15835602	-0.694236729	-4.020516813	-0.189290067	-6.163213617	-1.029841267
6pvv_3	-9.261968605	-1.381380702	-1.287327415	-0.118488947	0.705647626	0.089768339	0.383317616	0.124708494
6pvw_3	-43.06457316	-1.80273764	-48.1142472	-0.110980963	-6.303947348	-0.427729156	NA	NA
