name Energy(Hartrees)
1kna_1 -7745.20772
4qf8_3 -12172.528793
5tpx_5 -5997.075838
1d7i_6 -8569.318517
5epk_3 -9092.37047
1nlo_1 -9502.646506
2o9v_2 -4072.133369
3qxt_3 -6424.899847
3d6p_6 -5397.791709
1ikt_2 -5308.492376
2rly_2 -8952.598589
1xt3_2 -6086.744473
1rpf_1 -7580.091145
3s0b_6 -5889.574934
5f25_3 -4663.600865
5n8v_1 -9415.584245
1hi5_7 -9117.92724
5nlk_3 -5614.989641
3hk1_1 -6890.389397
1sv3_6 -8386.553447
5i7x_4 -6897.972158
4qgd_5 -3878.655366
5d25_4 -6818.555842
5hrx_5 -5495.568152
1rlq_2 -4993.001854
3d6p_3 -6927.660584
5d45_7 -8412.768612
1d7j_5 -9543.852835
1hi5_2 -6350.472568
4wn5_5 -7098.67118
4hp0_3 -7648.376131
5lvq_6 -5528.467057
3hk1_4 -5299.192755
5i7y_4 -5285.008711
2hnx_2 -5454.324763
4lzs_3 -4908.779371
6fgg_1 -7997.552315
6dl2_6 -5150.687465
5ovp_1 -8804.031907
1jn4_5 -8032.888108
4qf8_6 -6904.968856
5dbm_3 -6995.601236
1fkh_1 -7170.159148
4wci_2 -7955.614067
1gbq_3 -5651.780168
4uye_3 -9681.470869
5fe7_1 -6707.471858
1aze_1 -7771.371387
5d3l_3 -8549.43685
1d7i_4 -4840.612457
1o0n_3 -5618.881427
4g8v_1 -9584.464341
1i8h_2 -8840.101454
4lzs_4 -9882.378854
6pvv_3 -8176.386439
4a4f_1 -8647.063964
6atv_1 -7206.137742
6evn_5 -7710.878481
3d6o_4 -9064.80791
3kiv_4 -7384.99098
5n18_3 -5101.464128
6haj_2 -8417.483452
1hi5_5 -5175.861303
3qxv_2 -6469.73531
1nlp_3 -8840.445932
2pv1_4 -4509.714602
1ceb_1 -7903.80458596
1pdq_3 -8878.362103
3fdt_2 -4666.373024
4tkb_4 -8820.894927
1oai_1 -6817.573696
5f25_1 -6460.882465
1rpf_3 -9575.050861
5hrx_2 -5980.404429
1q7a_6 -6515.697768
4qgd_2 -10313.475987
4luz_4 -9750.092067
4a4g_1 -6889.156976
6pvw_3 -8396.063174
2w85_2 -4178.103843
4tkj_5 -9431.26778
1qwf_1 -8807.605567
1lkl_2 -9308.287624
5n18_6 -7592.493783
5i7x_3 -9631.281067
1u1b_1 -9201.968917
3hk1_6 -8385.558584
5lvq_4 -5338.335009
4hp0_1 -9327.107501
5f25_4 -7049.101565
6asz_3 -7881.157271
2w10_3 -8659.863463
1o0h_3 -5395.901446
2o9v_5 -5528.73227
1z6s_5 -6025.857187
2jo9_2 -6562.043388
1d7i_1 -6717.582078
1qhc_5 -8332.096511
1jq8_2 -7869.339644
3kiv_1 -8090.717596
1o0f_2 -7812.247182
1afk_7 -6264.830445
3r93_4 -7899.754491
4a4f_4 -6250.093682
5f1h_2 -4529.265456
4tkb_2 -5262.364775
1ikt_6 -4426.871459
5ov8_7 -7576.420922
3s0b_2 -5093.368473
5hrx_4 -10261.007143
5eq0_1 -5664.559753
4tun_4 -5029.363217
5n18_5 -5969.279827
5d47_5 -8654.711594
3qxv_4 -8888.408497
4qgd_1 -6051.108889
1w4o_1 -9584.507058
5ovv_5 -8635.234626
5mwh_4 -8251.913193
1qwf_2 -4934.977807
4lzs_2 -6623.338575
2lyw_3 -4377.346833
5i7y_5 -9944.622661
6evn_3 -9054.234075
3rdv_4 -9588.602176
4uye_2 -5099.55593
1d7i_2 -5414.426834
5i88_7 -8650.420629
5dbm_2 -9074.086732
1jbd_2 -8128.372227
4g8v_7 -7685.822398
3ikg_2 -4725.474903
1dpu_3 -4714.205703
3zyu_6 -5630.124359
6j3o_2 -5152.102502
3d6o_7 -8271.983831
5ovp_5 -6558.746193
4g8v_2 -8848.122403
1aze_2 -5562.341986
5eq1_1 -6174.967124
5ji8_2 -4544.04309
3g19_2 -4782.943
1xt3_3 -9582.508043
5hrx_1 -9644.74403
2ltv_1 -7245.920672
1q7a_5 -7564.98084
5d45_3 -9344.94508
1o0h_5 -6025.849637
1w4o_4 -6351.090512
1fv0_7 -5146.108029
1lkl_4 -4890.639967
6haj_1 -5348.219168
3gbq_1 -6588.232719
6d07_1 -7316.737836
4mr6_3 -5246.60289
5i7x_5 -5284.296778
5e6o_7 -7271.595798
3qxv_6 -5618.001213
6pvw_2 -10685.213192
2lto_3 -8041.291821
5d25_2 -4622.305957
5d3h_1 -7529.208644
1rnm_1 -7979.25346
3s8o_6 -7811.727238
5ov8_5 -7103.10415
3g19_5 -8958.710744
5eq0_3 -6875.369001
5i88_5 -8198.253883
5fe7_2 -5316.561247
1bhf_4 -5716.505236
3s8n_3 -6186.445169
4rsk_6 -7684.056144
1afk_6 -6889.117744
6dl2_5 -7980.516494
1fkg_6 -8569.216219
1jq8_3 -5158.883926
6qls_8 -7051.902395
1hi4_4 -8257.219693
2hnx_1 -7646.328938
5ovc_5 -3987.78079
5dbm_5 -9124.308188
1nlo_2 -4846.059273
4rsk_3 -5845.030516
3ikg_5 -5112.551273
4nnr_4 -4947.177839
3wvm_7 -7844.905813
2rol_3 -3734.648138
3zyu_4 -8996.729606
5l8a_1 -8586.287205
1jn4_3 -5395.880925
5tpx_6 -8747.318171
1l2z_4 -8595.831196
5mpz_1 -6602.058015
2pv1_5 -6231.868192
5d3h_4 -8101.989788
5u28_4 -6994.24717
6haj_3 -9571.415874
5e6o_2 -7191.24698
1sv3_5 -6298.874857
2o9v_1 -6418.132114
